,Metro station,lon,lat,Number of floors,type,Number of rooms,id,Area,floor,Price
179,Автозаводская,37.640066,55.703773,4,monolith,4.0,272426677,30.0,2,13990000.0
180,Автозаводская,37.6351179672961,55.7064860931808,16,monolithBrick,0.0,301269094,28.31,2,13065206.0
181,Автозаводская,37.640066,55.703773,4,monolith,1.0,272423402,20.3,2,9990000.0
182,Автозаводская,37.6321237476071,55.7064943785236,20,monolith,0.0,297989230,24.93,12,14510730.0
183,Автозаводская,37.65585,55.707867,16,monolith,4.0,298484246,127.0,14,76200000.0
184,Автозаводская,37.6334864423226,55.6973372537179,16,monolithBrick,4.0,293204000,101.8,3,47920110.0
185,Автозаводская,37.640066,55.703773,2,monolith,0.0,297506847,40.0,2,9900000.0
186,Автозаводская,37.6322310359675,55.7059794529357,20,monolith,4.0,297989270,91.21,15,33587170.0
187,Автозаводская,37.656182,55.687558,18,monolithBrick,0.0,298563904,27.2,7,12800000.0
188,Автозаводская,37.6672398220896,55.6906546805921,24,monolith,4.0,301327324,136.1,22,69574213.0
189,Автозаводская,37.65646,55.691075,13,monolith,4.0,294168433,95.0,8,38999000.0
190,Автозаводская,37.6681785952449,55.6907455861438,6,monolith,4.0,301281474,111.8,6,64483124.0
191,Автозаводская,37.656955,55.719404,29,monolith,1.0,296043335,46.0,2,19600000.0
192,Автозаводская,37.6672398220896,55.6906546805921,24,monolith,1.0,301281488,58.3,16,28363970.0
193,Автозаводская,37.640373,55.69816,22,monolith,1.0,301175732,42.3,9,23500000.0
194,Автозаводская,37.6681785952449,55.6907455861438,6,monolith,1.0,301281465,40.3,6,25238132.0
195,Автозаводская,37.656128,55.71908,29,monolith,1.0,301216266,40.0,15,19100000.0
196,Автозаводская,37.6375816972,55.6975455576,28,monolithBrick,1.0,296465340,44.3,23,24835953.0
197,Автозаводская,37.63906,55.687863,28,monolith,1.0,300941020,46.3,2,18400000.0
198,Автозаводская,37.6351179672961,55.7064860931808,16,monolithBrick,1.0,301268507,50.54,3,23711144.0
199,Автозаводская,37.638458,55.698767,18,monolith,1.0,293088942,49.7,13,29999999.0
200,Автозаводская,37.6351179672961,55.7064860931808,16,monolithBrick,1.0,301269131,46.85,3,19189057.0
201,Автозаводская,37.644477,55.71271,8,monolith,4.0,276634299,185.0,8,70000000.0
202,Автозаводская,37.6338664490735,55.6984690173889,16,monolithBrick,4.0,294639078,109.1,6,48711840.0
203,Автозаводская,37.630733,55.698767,14,monolith,1.0,301120641,40.1,7,20000000.0
